Open,Close,High,Low,Volume,Time
1188.0501,1183.74,1192.73,1183.72,,2005-01-05
1183.74,1187.89,1191.63,1183.27,,2005-01-06
1187.89,1186.1899,1192.2,1182.16,,2005-01-07
1186.1899,1190.25,1194.78,1184.8001,,2005-01-10
1190.25,1182.99,1190.25,1180.4301,,2005-01-11
1182.99,1187.7,1187.92,1175.64,,2005-01-12
1187.7,1177.45,1187.7,1175.8101,,2005-01-13
1177.45,1184.52,1185.21,1177.45,,2005-01-14
1184.52,1195.98,1195.98,1180.1,,2005-01-18
1195.98,1184.63,1195.98,1184.41,,2005-01-19
1184.63,1175.41,1184.63,1173.42,,2005-01-20
1175.41,1167.87,1179.45,1167.82,,2005-01-21
1167.87,1163.75,1173.03,1163.75,,2005-01-24
1163.75,1168.41,1174.3001,1163.75,,2005-01-25
1168.41,1174.07,1175.96,1168.41,,2005-01-26
1174.07,1174.5501,1177.5,1170.15,,2005-01-27
1174.5501,1171.36,1175.61,1166.25,,2005-01-28
1171.36,1181.27,1182.07,1171.36,,2005-01-31
1181.27,1189.41,1190.39,1180.95,,2005-02-01
1189.41,1193.1899,1195.25,1188.92,,2005-02-02
1193.1899,1189.89,1193.1899,1185.64,,2005-02-03
1189.89,1203.03,1203.47,1189.67,,2005-02-04
1203.03,1201.72,1204.15,1199.27,,2005-02-07
1201.72,1202.3001,1205.11,1200.16,,2005-02-08
1202.3001,1191.99,1203.83,1191.54,,2005-02-09
1191.99,1197.01,1198.75,1191.54,,2005-02-10
1197.01,1205.3001,1208.38,1193.28,,2005-02-11
1205.3001,1206.14,1206.9301,1203.59,,2005-02-14
1206.14,1210.12,1212.4399,1205.52,,2005-02-15
1210.12,1210.34,1212.4399,1205.0601,,2005-02-16
1210.34,1200.75,1211.33,1200.74,,2005-02-17
1200.75,1201.59,1202.92,1197.35,,2005-02-18
1201.59,1184.16,1202.48,1184.16,,2005-02-22
1184.16,1190.8001,1193.52,1184.16,,2005-02-23
1190.8001,1200.2,1200.42,1187.8001,,2005-02-24
1200.2,1211.37,1212.15,1199.61,,2005-02-25
1211.37,1203.6,1211.37,1198.13,,2005-02-28
1203.6,1210.41,1212.25,1203.6,,2005-03-01
1210.41,1210.08,1215.79,1204.22,,2005-03-02
1210.08,1210.47,1215.72,1204.45,,2005-03-03
1210.47,1222.12,1224.76,1210.47,,2005-03-04
1222.12,1225.3101,1229.11,1222.12,,2005-03-07
1225.3101,1219.4301,1225.6899,1218.57,,2005-03-08
1219.4301,1207.01,1219.4301,1206.66,,2005-03-09
1207.01,1209.25,1211.23,1201.41,,2005-03-10
1209.25,1200.08,1213.04,1198.15,,2005-03-11
1200.08,1206.83,1206.83,1199.51,,2005-03-14
1206.83,1197.75,1210.54,1197.75,,2005-03-15
1197.75,1188.07,1197.75,1185.61,,2005-03-16
1188.07,1190.21,1193.28,1186.34,,2005-03-17
1190.21,1189.65,1191.98,1182.78,,2005-03-18
1189.65,1183.78,1189.65,1178.82,,2005-03-21
1183.78,1171.71,1189.59,1171.63,,2005-03-22
1171.71,1172.53,1176.26,1168.7,,2005-03-23
1172.53,1171.42,1180.11,1171.42,,2005-03-24
1171.42,1174.28,1179.91,1171.42,,2005-03-28
1174.28,1165.36,1179.39,1163.6899,,2005-03-29
1165.36,1181.41,1181.54,1165.36,,2005-03-30
1181.41,1180.59,1184.53,1179.49,,2005-03-31
1180.59,1172.92,1189.8001,1169.91,,2005-04-01
1172.79,1176.12,1178.61,1167.72,,2005-04-04
1172.79,1176.12,1178.61,1167.72,,2005-04-05
1181.39,1184.07,1189.34,1181.39,,2005-04-06
1184.07,1191.14,1191.88,1183.8101,,2005-04-07
1191.14,1181.2,1191.75,1181.13,,2005-04-08
1181.2,1181.21,1184.07,1178.6899,,2005-04-11
1181.21,1187.76,1190.17,1170.85,,2005-04-12
1187.76,1173.79,1187.76,1171.4,,2005-04-13
1173.79,1162.0501,1174.67,1161.7,,2005-04-14
1162.0501,1142.62,1162.0501,1141.92,,2005-04-15
1142.62,1145.98,1148.92,1139.8001,,2005-04-18
1145.98,1152.78,1154.67,1145.98,,2005-04-19
1152.78,1137.5,1155.5,1136.15,,2005-04-20
1137.5,1159.95,1159.95,1137.5,,2005-04-21
1159.95,1152.12,1159.95,1142.95,,2005-04-22
1152.12,1162.1,1164.0501,1152.12,,2005-04-25
1162.1,1151.83,1164.8001,1151.83,,2005-04-26
1151.74,1156.38,1159.87,1144.42,,2005-04-27
1156.38,1143.22,1156.38,1143.22,,2005-04-28
1143.22,1156.85,1156.97,1139.1899,,2005-04-29
1156.85,1162.16,1162.87,1154.71,,2005-05-02
1162.16,1161.17,1166.89,1156.71,,2005-05-03
1161.17,1175.65,1176.01,1161.17,,2005-05-04
1175.65,1172.63,1178.62,1166.77,,2005-05-05
1172.63,1171.35,1177.75,1170.5,,2005-05-06
1171.35,1178.84,1178.87,1169.38,,2005-05-09
1178.84,1166.22,1178.84,1162.98,,2005-05-10
1166.22,1171.11,1171.77,1157.71,,2005-05-11
1171.11,1159.36,1173.37,1157.76,,2005-05-12
1159.36,1154.0501,1163.75,1146.1801,,2005-05-13
1154.0501,1165.6899,1165.75,1153.64,,2005-05-16
1165.6899,1173.8001,1174.35,1159.86,,2005-05-17
1173.8001,1185.5601,1187.9,1173.8001,,2005-05-18
1185.5601,1191.08,1191.09,1184.49,,2005-05-19
1191.08,1189.28,1191.22,1185.1899,,2005-05-20
1189.28,1193.86,1197.4399,1188.76,,2005-05-23
1193.86,1194.07,1195.29,1189.87,,2005-05-24
1194.07,1190.01,1194.07,1185.96,,2005-05-25
1190.01,1197.62,1198.95,1190.01,,2005-05-26
1197.62,1198.78,1199.5601,1195.28,,2005-05-27
1198.78,1191.5,1198.78,1191.5,,2005-05-31
1191.5,1202.22,1205.64,1191.03,,2005-06-01
1202.27,1204.29,1204.67,1198.42,,2005-06-02
1204.29,1196.02,1205.09,1194.5501,,2005-06-03
1196.02,1197.51,1198.78,1192.75,,2005-06-06
1197.51,1197.26,1208.85,1197.26,,2005-06-07
1197.26,1194.67,1201.97,1193.33,,2005-06-08
1194.67,1200.9301,1201.86,1191.09,,2005-06-09
1200.9301,1198.11,1202.79,1192.64,,2005-06-10
1198.11,1200.82,1206.03,1194.51,,2005-06-13
1200.82,1203.91,1207.53,1200.1801,,2005-06-14
1203.91,1206.58,1208.08,1198.66,,2005-06-15
1206.5501,1210.96,1212.1,1205.47,,2005-06-16
1210.9301,1216.96,1219.5501,1210.9301,,2005-06-17
1216.96,1216.1,1219.1,1210.65,,2005-06-20
1216.1,1213.61,1217.13,1211.86,,2005-06-21
1213.61,1213.88,1219.59,1211.6899,,2005-06-22
1213.88,1200.73,1216.45,1200.72,,2005-06-23
