Open,Close,High,Low,Adj_Close,Volume,Time
0.00,102.13,102.97,101.45,102.13,102.13,"Apr 29, 1976"
0.00,102.13,102.46,100.91,102.13,102.13,"Apr 28, 1976"
0.00,101.86,103.18,101.51,101.86,101.86,"Apr 27, 1976"
0.00,102.43,102.80,101.36,102.43,102.43,"Apr 26, 1976"
0.00,102.29,103.21,101.70,102.29,102.29,"Apr 23, 1976"
0.00,102.98,104.04,102.52,102.98,102.98,"Apr 22, 1976"
0.00,103.32,104.03,102.30,103.32,103.32,"Apr 21, 1976"
0.00,102.87,103.32,101.42,102.87,102.87,"Apr 20, 1976"
0.00,101.44,101.83,100.32,101.44,101.44,"Apr 19, 1976"
0.00,100.67,101.18,99.73,100.67,100.67,"Apr 15, 1976"
0.00,100.31,101.77,99.98,100.31,100.31,"Apr 14, 1976"
0.00,101.05,101.39,99.64,101.05,101.05,"Apr 13, 1976"
0.00,100.20,101.30,99.57,100.20,100.20,"Apr 12, 1976"
0.00,100.35,101.74,99.87,100.35,100.35,"Apr 09, 1976"
0.00,101.28,102.38,100.53,101.28,101.28,"Apr 08, 1976"
0.00,102.21,103.85,101.92,102.21,102.21,"Apr 07, 1976"
0.00,103.36,104.63,102.93,103.36,103.36,"Apr 06, 1976"
0.00,103.51,104.13,102.32,103.51,103.51,"Apr 05, 1976"
0.00,102.25,102.76,101.23,102.25,102.25,"Apr 02, 1976"
0.00,102.24,103.24,101.50,102.24,102.24,"Apr 01, 1976"
0.00,102.77,103.08,101.60,102.77,102.77,"Mar 31, 1976"
0.00,102.01,103.36,101.25,102.01,102.01,"Mar 30, 1976"
0.00,102.41,103.36,101.99,102.41,102.41,"Mar 29, 1976"
0.00,102.85,103.65,102.20,102.85,102.85,"Mar 26, 1976"
0.00,102.85,104.00,102.19,102.85,102.85,"Mar 25, 1976"
0.00,103.42,104.39,102.51,103.42,103.42,"Mar 24, 1976"
0.00,102.24,102.54,100.32,102.24,102.24,"Mar 23, 1976"
0.00,100.71,101.53,100.14,100.71,100.71,"Mar 22, 1976"
